variant,label,metric,mean,std,n_seeds,epochs,n_train_proteins,seed_values
D_seq_distance,D: Seq-dist baseline (no learning),local_lDDT,35.93452426365444,0.0,1,0,0,35.9345
D_seq_distance,D: Seq-dist baseline (no learning),contact_f1,0.7368413879071241,0.0,1,0,0,0.7368
D_seq_distance,D: Seq-dist baseline (no learning),long_range_precision_L5,0.0,0.0,1,0,0,0.0000
D_seq_distance,D: Seq-dist baseline (no learning),tm_proxy,0.02458477646414358,0.0,1,0,0,0.0246
A_seq_only,A: Seq-only Transformer (no pair track),local_lDDT,26.351522082374206,0.286618196893461,3,30,20,"25.9592,26.4593,26.6361"
A_seq_only,A: Seq-only Transformer (no pair track),contact_f1,0.0,0.0,3,30,20,"0.0000,0.0000,0.0000"
A_seq_only,A: Seq-only Transformer (no pair track),long_range_precision_L5,0.01455026455026455,0.0018706528602818716,3,30,20,"0.0159,0.0119,0.0159"
A_seq_only,A: Seq-only Transformer (no pair track),tm_proxy,0.05786961406955495,0.001770982125520647,3,30,20,"0.0586,0.0554,0.0595"
B_evoformer_no_trimul,B: Evoformer (no TriMul),local_lDDT,38.64887918744768,1.5499499094906897,3,30,20,"40.6143,36.8258,38.5065"
B_evoformer_no_trimul,B: Evoformer (no TriMul),contact_f1,0.7647820326415383,0.019771059047387046,3,30,20,"0.7778,0.7368,0.7797"
B_evoformer_no_trimul,B: Evoformer (no TriMul),long_range_precision_L5,0.010770975056689341,0.008370081099905556,3,30,20,"0.0119,0.0204,0.0000"
B_evoformer_no_trimul,B: Evoformer (no TriMul),tm_proxy,0.061319918001798,0.015360328380857529,3,30,20,"0.0830,0.0520,0.0490"
